,NP_Synthesis,shape,method,Bacteria,Superkingdom,Phylum,Class,Order,Family,Genus,Species,bac_type,gram,NP size_min (nm),NP size_max (nm),MDR,MIC_NP (μg/ml),time (hr),"min_Incub_period, h","avg_Incub_period, h","max_Incub_period, h","growth_temp, C "
39,6.0,14.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.6248184336026902,0.5289828271968539,2.124402059909925,2.517742015006371,-1.0943877446411867,-0.1571046756427958,0.5704558856308716,0.8643048228275197,-3.0599562127716577
40,6.0,14.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.6248184336026902,0.5289828271968539,2.124402059909925,2.517742015006371,-1.0943877446411867,-0.41630619927892903,0.5704558856308716,1.9912056661898332,0.3012026434589428
41,6.0,14.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.6248184336026902,0.5289828271968539,2.124402059909925,2.517742015006371,-1.0943877446411867,-0.1571046756427958,0.10085173480158982,0.8643048228275197,-2.0516085559024773
42,6.0,14.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.6248184336026902,0.5289828271968539,2.124402059909925,2.517742015006371,-1.0943877446411867,-0.1571046756427958,0.10085173480158982,0.8643048228275197,-2.0516085559024773
43,6.0,14.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.6248184336026902,0.5289828271968539,2.124402059909925,2.517742015006371,-1.0943877446411867,-0.1571046756427958,0.10085173480158982,0.8643048228275197,-2.0516085559024773
44,6.0,14.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.6248184336026902,0.5289828271968539,2.124402059909925,2.517742015006371,-1.0943877446411867,-0.1571046756427958,0.5704558856308716,1.9912056661898332,0.3012026434589428
45,6.0,14.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.6248184336026902,0.5289828271968539,2.124402059909925,2.517742015006371,-1.0943877446411867,-0.1571046756427958,0.5704558856308716,1.9912056661898332,-2.0516085559024773
46,6.0,14.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.6248184336026902,0.5289828271968539,2.124402059909925,2.517742015006371,-1.0943877446411867,-0.1571046756427958,-0.36875241602769193,-0.26259602053479375,0.3012026434589428
47,6.0,14.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.6248184336026902,0.5289828271968539,2.124402059909925,2.517742015006371,-1.0943877446411867,-0.1571046756427958,0.5704558856308716,0.8643048228275197,-3.0599562127716577
48,6.0,14.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.6248184336026902,0.5289828271968539,2.124402059909925,2.517742015006371,-1.0943877446411867,-0.41630619927892903,0.5704558856308716,1.9912056661898332,0.3012026434589428
49,85.0,8.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.5826503516503901,-0.578301707933061,2.124402059909925,-0.4038925807244696,0.025706083581796563,-0.1571046756427958,0.10085173480158982,0.8643048228275197,-2.0516085559024773
50,85.0,8.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.5826503516503901,-0.578301707933061,2.124402059909925,-0.4038925807244696,0.025706083581796563,-0.1571046756427958,0.10085173480158982,0.8643048228275197,-2.0516085559024773
51,85.0,8.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.5826503516503901,-0.578301707933061,2.124402059909925,-0.4038925807244696,0.025706083581796563,-0.1571046756427958,0.10085173480158982,0.8643048228275197,-2.0516085559024773
52,85.0,8.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.5826503516503901,-0.578301707933061,2.124402059909925,-0.4038925807244696,0.025706083581796563,-0.1571046756427958,0.5704558856308716,1.9912056661898332,0.3012026434589428
53,85.0,8.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.5826503516503901,-0.578301707933061,2.124402059909925,-0.4038925807244696,0.025706083581796563,-0.1571046756427958,0.5704558856308716,1.9912056661898332,-2.0516085559024773
54,85.0,8.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.5826503516503901,-0.578301707933061,2.124402059909925,-0.4038925807244696,0.025706083581796563,-0.1571046756427958,-0.36875241602769193,-0.26259602053479375,0.3012026434589428
55,85.0,8.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.5826503516503901,-0.578301707933061,2.124402059909925,-0.4038925807244696,0.025706083581796563,-0.1571046756427958,0.5704558856308716,0.8643048228275197,-3.0599562127716577
56,85.0,8.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.5826503516503901,-0.578301707933061,2.124402059909925,-0.4038925807244696,0.025706083581796563,-0.41630619927892903,0.5704558856308716,1.9912056661898332,0.3012026434589428
57,15.0,8.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.8088246093945449,0.5289828271968539,2.124402059909925,-0.3999682144497933,0.025706083581796563,-0.1571046756427958,0.10085173480158982,0.8643048228275197,-2.0516085559024773
58,15.0,8.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.8088246093945449,0.5289828271968539,2.124402059909925,-0.3999682144497933,0.025706083581796563,-0.1571046756427958,0.10085173480158982,0.8643048228275197,-2.0516085559024773
59,15.0,8.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.8088246093945449,0.5289828271968539,2.124402059909925,-0.3999682144497933,0.025706083581796563,-0.1571046756427958,0.10085173480158982,0.8643048228275197,-2.0516085559024773
60,15.0,8.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.8088246093945449,0.5289828271968539,2.124402059909925,-0.3999682144497933,0.025706083581796563,-0.1571046756427958,0.5704558856308716,1.9912056661898332,0.3012026434589428
61,15.0,8.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.8088246093945449,0.5289828271968539,2.124402059909925,-0.3999682144497933,0.025706083581796563,-0.1571046756427958,0.5704558856308716,1.9912056661898332,-2.0516085559024773
62,15.0,8.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.8088246093945449,0.5289828271968539,2.124402059909925,-0.3999682144497933,0.025706083581796563,-0.1571046756427958,-0.36875241602769193,-0.26259602053479375,0.3012026434589428
63,15.0,8.0,3.0,1.0,2.0,9.0,8.0,15.0,20.0,1.0,1.0,3.0,1.0,-0.8088246093945449,0.5289828271968539,2.124402059909925,-0.3999682144497933,0.025706083581796563,-0.1571046756427958,0.5704558856308716,0.8643048228275197,-3.0599562127716577
